Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
SMOC1	0	0	11064.816	0	0	0	21097.67	0	14205.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPB41L1	834073.8	685157.9	827044.9	100689.41	141849.75	122757.766	546805.06	584712.9	540414.6	8483.492	8103.2534	9830.016	180676.39	171327.81	226611.36	0	0	0	52833.97	55041.8	24226.328	0	0	0
GLIPR2	61586.703	41676.43	38817.47	16890.652	0	0	98209.5	94235.5	122315.22	0	0	0	79925.125	57610.707	0	43830.344	30871.852	36626.906	11467.924	0	0	0	0	0
FAM83D	12313.131	9712.429	12222.594	0	0	0	0	0	7973.722	0	0	0	115905.09	193649.34	288429.34	0	0	0	11809.142	16818.637	56123.06	0	0	0
ZHX3	0	0	0	0	0	0	0	9902.894	16707.527	0	0	0	0	0	0	14729.038	9030.546	0	0	0	0	0	0	0
TRABD	0	0	37564.133	0	0	0	0	16351.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SENP3	15563.997	17536.43	13124.249	0	0	0	217272.16	152925.84	149251.97	0	0	0	178850.1	219858.83	255350.3	38400.418	60610.9	18251.803	11488.863	9170.085	8044.8193	0	0	0
OSBPL3	15982.389	28915.074	79907.14	0	0	30542.836	181520.27	121370.63	56342.79	0	0	0	11845.987	135752.81	187751.06	0	0	0	6126.294	0	0	0	0	0
SMARCAD1	113978.66	0	0	0	0	0	57299.65	65763.695	74453.68	0	0	0	121519.61	119435.36	195180.25	44458.734	81804.95	44219.656	0	0	0	0	0	0
EHD1	586099.06	519346.72	778185.56	0	55526.625	25591.203	695748.06	754191.44	896492.56	0	0	0	392552.53	370541.66	673844.06	16046.918	117983.56	34039.71	166900.39	116269.69	109932.22	0	0	0
ZNF644	0	0	0	0	0	0	149773.44	134713.86	196921.11	0	0	0	0	0	0	68220.37	160660.73	21950.838	0	0	0	0	0	0
HEATR1	162733.23	57294.484	160968.77	0	0	0	450651.88	624080.56	644330.9	0	0	4172.0366	387371.7	620544.1	564709.7	175241.38	315089.94	74421.49	23409.441	29366.625	11293.992	0	0	0
