Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
MAPRE3	CENPC	CENPC	1.061|1.299|1.217	3.577	1.192	3	1.520|1.388|1.425|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.114	0.826	0.996	
MAPRE3	CENPE	CENPE	1.266|4.232|1.344	6.842	2.281	3	1.608|2.554|1.659|.|4.480|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-12.902	0.970	0.992	
MAPRE3	CENPF	CENPF	1.570|1.489|1.749	4.809	1.603	3	3.602|3.623|3.086|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.314	0.468	0.997	
MAPRE3	CENPH	CENPH	0.211|0.432|0.233	0.875	0.292	3	1.496|1.958|1.775|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.168	0.998	
MAPRE3	CENPJ	CENPJ	0.248|0.211|0.207	0.665	0.222	3	0.321|0.183|0.548|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.777	0.698	0.997	
MAPRE3	CEP104	CEP104	1.421|0.920|0.780	3.121	1.040	3	0.415|.|0.354|.|.|.|.|.|.	0.006	0.013	0.006	0.013	0.006	-6.583	2.716	0.936	
MAPRE3	CEP120	CEP120	0.356|0.116|0.213	0.685	0.228	3	.|0.348|0.451|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.988	0.577	0.996	
MAPRE3	CEP126	CEP126	0.256|.|0.209	1.437	0.479	3	.|.|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.493	0.998	
MAPRE3	CEP131	CEP131	0.683|0.719|0.814	2.216	0.739	3	1.010|1.113|1.430|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.419	0.631	0.997	
MAPRE3	CEP135	CEP135	1.336|0.825|0.831	2.992	0.997	3	0.435|1.074|0.416|.|.|.|.|.|.	0.001	0.002	0.001	0.002	0.001	-8.113	1.722	0.985	
MAPRE3	CEP152	CEP152	2.283|1.912|1.885	6.081	2.027	3	3.878|3.941|3.644|.|.|.|.|0.312|.	0.001	0.001	0.001	0.001	0.001	-7.562	0.993	0.989	
MAPRE3	CEP162	CEP162	1.092|1.038|0.997	3.127	1.042	3	0.856|0.778|0.957|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.004	1.211	0.994	
MAPRE3	CEP164	CEP164	0.096|.|0.188	1.256	0.419	3	0.180|0.964|0.314|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.503	1.104	0.997	
MAPRE3	CEP170	CEP170	9.337|8.949|9.575	27.861	9.287	3	7.582|6.481|7.084|.|.|.|0.317|0.184|0.393	0.007	0.007	0.007	0.007	0.007	-4.952	6.572	0.920	
MAPRE3	CEP170B	CEP170B	2.012|2.005|2.340	6.358	2.119	3	1.152|0.835|1.170|.|.|.|.|.|.	0.001	0.002	0.001	0.002	0.001	-6.811	2.037	0.978	
MAPRE3	CEP192	CEP192	1.499|1.675|1.728	4.902	1.634	3	3.672|3.464|3.207|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.299	0.475	0.997	
MAPRE3	CEP250	CEP250	0.114|.|.	2.059	0.686	3	1.706|0.630|0.768|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.731	0.998	
MAPRE3	CEP290	CEP290	1.645|1.118|0.762	3.526	1.175	3	1.062|1.201|1.382|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.952	0.973	0.994	
MAPRE3	CEP295	CEP295	0.949|0.873|0.873	2.695	0.898	3	1.264|1.404|1.524|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.995	0.645	0.997	
MAPRE3	CEP350	CEP350	3.190|3.566|2.929	9.685	3.228	3	3.972|4.052|4.288|.|.|.|0.599|0.668|2.291	0.001	0.001	0.001	0.001	0.001	-7.261	1.617	0.986	
MAPRE3	CEP43	CEP43	4.489|4.467|4.425	13.381	4.460	3	1.768|1.596|1.289|.|.|.|.|.|.	0.006	0.007	0.006	0.007	0.006	-5.082	2.900	0.929	
MAPRE3	CEP44	CEP44	2.512|2.462|2.481	7.454	2.485	3	1.384|1.555|1.511|.|.|.|.|.|.	0.001	0.001	0.001	0.001	0.001	-7.449	1.677	0.989	
MAPRE3	CEP55	CEP55	0.700|0.664|0.690	2.054	0.685	3	2.288|2.339|2.575|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.744	0.286	0.998	
MAPRE3	CEP72	CEP72	1.273|1.276|1.420	3.968	1.323	3	2.749|3.243|2.917|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.393	0.446	0.997	
