Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
WDR1	98.4621048	48.91024399	118.9129257	11.99118042	12.20033455	12.79689217	113.458252	46.53782654	60.53530884	7.058726311	12.22710323	24.05558395	71.04878998	54.57992554	111.1373444	16.91716385	32.2602005	14.75078773	10.51885605	14.09518528	15.52704811	6.508373737	12.87923908	11.59340858
ATP9A	12.31516075	15.40759087	26.18515968	0	13.49996662	7.571832657	24.98764801	22.53905869	37.29134369	0	0	0	29.56973648	33.26911926	47.10201263	20.43256378	24.42665482	6.645764351	8.894171715	0	1.510406494	0	0	0
N4BP1	74.60285187	59.31460953	107.5530396	9.338926315	10.95067215	9.046224594	157.004364	123.0744781	165.5400238	0	0	0	88.30319977	120.8026352	174.6896973	49.2167511	55.03292084	22.38460922	2.510920048	19.9528656	25.29875565	0	0	0
ROCK2	486.4678345	451.6292419	665.0046997	46.81425858	85.11592102	63.14092636	535.1173706	549.6932983	610.0998535	16.15604401	21.6174736	29.11644363	485.5348511	547.6187134	669.1779785	59.38553238	83.36339569	48.04845428	162.9487305	142.5282288	166.9973755	13.22765732	24.15039444	30.03980637
CLASP2	224.0367126	182.0586548	369.9171753	18.49338531	26.49296379	29.745821	371.333374	404.0704956	592.5072632	0	1.744019628	0	395.0909729	343.7068481	578.9890747	20.46447945	38.48474884	13.45792389	1090.931519	1128.437378	1095.853882	6.260340214	7.719086647	5.170935631
ZNF623	0	0	0	0	0	0	13.50371933	4.30381012	24.85688782	0	0	0	0	0	0	77.76928711	129.8189545	58.08681488	0	0	0	0	0	0
PTCD1	15.54899025	3.359536648	23.24261093	14.16183567	7.312310696	2.563102722	0	38.76021576	30.32735062	0	3.031732559	5.04723978	54.47670364	34.96043777	89.6788559	8.808069229	32.02791977	9.693217278	0	0	15.52681923	0	4.734707355	8.65672493
COBL	364.3924255	275.0548096	433.3243713	12.10580158	17.71893311	20.97041512	167.9096222	143.917984	135.9391937	0	0	0	91.67672729	60.39675522	62.8785553	4.378258705	20.14235306	6.294360161	55.99028015	59.65003967	69.29089355	3.708262205	2.740506172	5.966191292
CPNE3	61.05444336	40.80029297	72.50720215	15.92951298	18.78242683	29.57670975	33.39056778	51.25360107	85.29547119	25.94389534	42.5478096	27.5731144	66.7074585	65.21109009	111.0034485	49.1830864	58.84048462	20.51994896	35.7497139	24.85216141	60.16456985	37.94990921	17.57751274	29.24596786
ZBED4	14.9896307	11.45225811	18.41609955	2.732421875	10.54545784	0	124.0505219	172.5104065	241.5454407	0	0	0	34.99266815	32.39313507	64.31246185	174.2567749	305.7578125	74.30326843	11.10908318	14.70761681	21.29365349	0	0	3.08223629
DEPDC5	28.36409187	4.381679058	16.35950089	0	0	0	24.45587349	33.05462646	31.99657249	0	0	0	4.673424721	4.76601696	13.05409813	0	0	0	3.525846243	5.691067219	5.540212154	0	0	0
ATG13	12.5053606	4.624900818	18.26519203	0	5.934950829	0	20.50890923	9.497226715	29.47888565	0	0	0	14.87652588	14.16864491	42.0044632	7.670183659	12.12340355	5.349997044	4.566921234	2.664554596	2.984144211	0	0	0
HIP1R	56.85477829	35.61071396	57.68623352	0	19.25143051	0	76.85340118	88.5925293	36.62258148	0	0	0	110.1958694	92.3141861	163.5556793	11.00895214	243.7177887	5.380971909	8.051517487	8.74615097	35.98416901	9.805444717	0	3.474740982
OBSL1	25.74169159	18.7178688	35.14630508	0	10.92233753	0	36.24187088	39.84491348	63.62576294	0	0	0	16.4039402	46.40709686	83.85842133	8.753714561	28.41122437	5.459908485	8.752133369	7.445888519	4.571628571	0	0	1.21883297
RNF40	44.12689209	15.91005325	70.32594299	14.91526794	32.3502121	55.6103096	159.7915802	193.2605133	250.7487335	0	1.616918564	0	61.09236145	54.58815765	86.73791504	94.09966278	179.5276489	74.12872314	17.23074722	23.83281136	20.22092819	1.492912292	0	3.028230667
PHF2	17.80247879	4.991296768	22.81041908	0	0	0	51.36644363	57.40739822	66.27189636	0	0	0	50.06639862	20.6800518	34.94903183	27.6306591	50.52526093	20.16327477	11.59532261	9.99853611	10.24272346	0	0	9.065141678
ZC3H11A	168.3750916	166.375351	225.1243286	16.39143753	23.80358505	20.92521286	977.5144653	756.493042	834.3137817	0	0	0	137.4921112	139.528717	170.4567108	467.2171326	666.3095703	474.3827209	165.4919739	155.5408936	191.6300354	16.9588871	17.71115303	22.04462814
