Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PDHA1	PRKAR2A	PRKAR2A	.|0.387|0.274	1.491	0.497	3	2.314|2.732|2.032|.|0.283|.	0.000	0.001	0.000	0.001	0.000	-8.099	0.360	0.884	
PDHA1	FDPS	FDPS	.|0.380|0.415	1.625	0.542	3	0.789|1.093|0.803|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.612	0.923	
PDHA1	COX7A2	COX7A2	.|0.433|0.442	1.705	0.568	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.656	0.685	0.917	
PDHA1	SNRPB	SNRPB	.|0.488|.	2.148	0.716	3	0.487|0.519|0.467|.|.|.	0.000	0.000	0.000	0.000	0.000	-7.853	1.459	0.896	
PDHA1	CAPN2	CAPN2	.|0.290|0.085	1.205	0.402	3	0.830|0.647|0.741|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.546	0.924	
PDHA1	PFKL	PFKL	.|0.356|0.471	1.657	0.552	3	2.568|2.762|2.096|.|0.391|0.577	0.000	0.001	0.000	0.001	0.000	-8.045	0.434	0.884	
PDHA1	PSMC3	PSMC3	.|0.191|.	1.851	0.617	3	1.301|1.198|1.364|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.480	0.927	
PDHA1	HK1	HK1	.|0.396|0.679	1.906	0.635	3	0.669|0.548|0.936|0.211|0.450|0.277	0.004	0.012	0.004	0.012	0.004	-7.318	1.392	0.840	
PDHA1	EIF2S2	EIF2S2	.|0.517|0.299	1.646	0.549	3	0.890|1.038|1.151|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.538	0.919	
PDHA1	ANXA7	ANXA7	.|0.504|.	2.164	0.721	3	.|.|0.718|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.670	1.005	0.907	
PDHA1	CAST	CAST	.|0.261|0.272	1.364	0.455	3	0.992|0.851|0.834|0.183|0.186|0.157	0.004	0.006	0.004	0.006	0.004	-5.198	1.153	0.844	
PDHA1	ACO1	ACO1	.|0.286|.	1.946	0.649	3	3.044|2.831|2.360|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.238	0.927	
PDHA1	TGM1	TGM1	.|0.568|.	2.228	0.743	3	.|.|.|.|0.231|0.227	0.048	0.143	0.048	0.143	0.048	-1.790	3.242	0.691	
PDHA1	DTYMK	DTYMK	.|0.237|0.238	1.305	0.435	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.524	0.924	
PDHA1	AZGP1	AZGP1	.|0.483|.	2.143	0.714	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.511	0.861	0.916	
PDHA1	PSMA2	PSMA2	.|0.193|.	1.853	0.618	3	0.506|0.320|0.312|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.615	1.671	0.919	
PDHA1	PSMA4	PSMA4	.|0.600|.	2.260	0.753	3	1.578|1.233|1.118|.|0.277|0.313	0.002	0.006	0.002	0.006	0.002	-5.041	1.051	0.858	
