Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
LMNA	DNPEP	3	6	13|13|13|13|13|13	0.3268	0.3084
MAPRE3	DNPEP	3	6	13|13|13|13|13|13	0.2177	0.3635
KRT8	DNPH1	3	1	13	0.3330	0.2865
LMNA	DNPH1	3	1	13	0.3332	0.2754
LMNA	DNTTIP1	3	4	13|13|13|13	0.7485	0.0868
ACTB	DNTTIP2	3	19	13|13|13|13|26|13|13|13|13|26|13|13|26|13|26|13|13|26|25	0.6220	0.1403
CTNNA1	DNTTIP2	3	19	13|13|13|13|26|13|13|13|13|26|13|13|26|13|26|13|13|26|25	0.1780	0.3836
KRT8	DNTTIP2	3	19	13|13|13|13|26|13|13|13|13|26|13|13|26|13|26|13|13|26|25	0.3790	0.2409
LMNA	DNTTIP2	3	19	13|13|13|13|26|13|13|13|13|26|13|13|26|13|26|13|13|26|25	0.9644	0.0217
MAPRE3	DNTTIP2	3	19	13|13|13|13|26|13|13|13|13|26|13|13|26|13|26|13|13|26|25	0.6776	0.1083
ACTB	DOC2A	3	1	13	0.3327	0.2916
ACTB	DOCK1	3	41	13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13	0.9729	0.0168
CTNNA1	DOCK1	3	41	13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13	0.0403	0.4781
KRT8	DOCK1	3	41	13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13	0.9502	0.0263
LMNA	DOCK1	3	41	13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13	0.0155	0.4850
MAPRE3	DOCK1	3	41	13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13	0.3686	0.2443
ACTB	DOCK10	3	44	13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|26|13|13|26|13|13|13|13|13|26|13|12|13	0.8893	0.0413
CTNNA1	DOCK10	3	44	13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|26|13|13|26|13|13|13|13|13|26|13|12|13	0.1699	0.3858
KRT8	DOCK10	3	44	13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|26|13|13|26|13|13|13|13|13|26|13|12|13	0.8860	0.0423
LMNA	DOCK10	3	44	13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|26|13|13|26|13|13|13|13|13|26|13|12|13	0.1157	0.4257
MAPRE3	DOCK10	3	44	13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|26|13|13|26|13|13|13|13|13|26|13|12|13	0.2302	0.3549
ACTB	DOCK11	3	25	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.6729	0.1092
CTNNA1	DOCK11	3	25	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.0748	0.4645
KRT8	DOCK11	3	25	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.6973	0.1038
LMNA	DOCK11	3	25	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.1214	0.4240
MAPRE3	DOCK11	3	25	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.2305	0.3548
ACTB	DOCK2	3	6	13|13|13|13|13|13	0.3178	0.3234
KRT8	DOCK2	3	6	13|13|13|13|13|13	0.8712	0.0470
MAPRE3	DOCK2	3	6	13|13|13|13|13|13	0.2987	0.3354
KRT8	DOCK3	3	1	13	0.3333	0.2523
ACTB	DOCK4	3	15	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.4035	0.2323
KRT8	DOCK4	3	15	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.8173	0.0641
MAPRE3	DOCK4	3	15	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.1415	0.4170
ACTB	DOCK5	3	33	13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13	0.8920	0.0406
CTNNA1	DOCK5	3	33	13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13	0.0358	0.4798
KRT8	DOCK5	3	33	13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13	0.7762	0.0766
LMNA	DOCK5	3	33	13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13	0.0170	0.4849
MAPRE3	DOCK5	3	33	13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13	0.4034	0.2324
ACTB	DOCK6	3	32	13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.7614	0.0816
KRT8	DOCK6	3	32	13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.9826	0.0086
LMNA	DOCK6	3	32	13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.0191	0.4845
