Bait,Prey
EGFR,UNC45B
EGFR,RAB8A
EGFR,WDR11
EGFR,SLC15A3
EGFR,RPS27A
EGFR,ATP13A2
EGFR,SLC39A10
EGFR,DPEP1
EGFR,EHD4
EGFR,IRF7
EGFR,CNN1
EGFR,PPP1R13B
EGFR,FCRL5
EGFR,CLIC4
EGFR,NOP16
EGFR,GRHL1
EGFR,RPS9
EGFR,MIA3
EGFR,SPN
EGFR,WNT7B
EGFR,YWHAG
EGFR,TF
EGFR,KLRD1
EGFR,SPEF1
EGFR,DSG1
EGFR,MYZAP
EGFR,GLI3
EGFR,AP1S2
EGFR,VPS35
EGFR,RNF167
EGFR,EMP2
EGFR,ADAMTS9
EGFR,IYD
EGFR,ITPR2
EGFR,LRP2
EGFR,RAB26
EGFR,CDK5
EGFR,RPL7A
EGFR,SHC1
EGFR,PTPN12
EGFR,GGT2P
EGFR,TAX1BP1
EGFR,MIER1
EGFR,URS00000B7E30_9606
EGFR,BICD1
EGFR,FRMPD2
EGFR,OLR1
EGFR,CRTAP
EGFR,ABCC5
EGFR,KCNE2
EGFR,PRSS12
EGFR,RND3
EGFR,MAP1B
EGFR,AP3M2
EGFR,MFAP3
EGFR,MELTF
EGFR,DAOA
EGFR,MAPKAP1
EGFR,NLRP2
EGFR,TNFRSF4
EGFR,HSPH1
EGFR,CD81
EGFR,SLC9A8
EGFR,AKAP10
EGFR,PKP4
EGFR,SH3BGRL3
EGFR,TLR3
EGFR,CD40
EGFR,PLSCR1
EGFR,LGALS3
EGFR,GGPS1
EGFR,IQGAP2
EGFR,RCN3
EGFR,KIF9
EGFR,RABEPK
EGFR,H3C1
EGFR,PLEKHF1
EGFR,DUX4
EGFR,SLC12A3
EGFR,NLGN4Y
EGFR,ACTG1
EGFR,PIP4K2C
EGFR,CCKBR
EGFR,CD80
EGFR,STEAP4
EGFR,CST1
EGFR,SLC5A11
EGFR,RPL10A
EGFR,CLSTN2
EGFR,KIF1A
EGFR,NEXN
EGFR,TP53INP1
EGFR,SLC22A6
EGFR,NPM1
EGFR,UBC
EGFR,G2E3
EGFR,ITGA3
EGFR,PPP1R16B
EGFR,VPS52
EGFR,USP20
EGFR,KIF5B
EGFR,ATP6V0A2
EGFR,SUN2
EGFR,VIPR1
EGFR,SLC4A8
EGFR,SFRP4
EGFR,RAMP3
EGFR,MAPK8IP3
EGFR,CRB2
EGFR,FUT4
EGFR,HOXA11
EGFR,AHR
EGFR,PHLDA1
EGFR,NKD2
EGFR,LRRC7
EGFR,SPRED1
EGFR,RPS15
EGFR,HLA-G
EGFR,SRP68
EGFR,SLC39A12
EGFR,RND1
EGFR,ARF3
EGFR,SH3GL3
EGFR,CELF2
EGFR,IPO4
EGFR,NOD2
EGFR,NEURL1
EGFR,SCNN1G
EGFR,MITD1
EGFR,FYN
EGFR,SLC34A3
EGFR,ECI2
EGFR,RAET1G
EGFR,EPS8
EGFR,SLC49A4
EGFR,CD99
EGFR,MTMR6
EGFR,CFAP157
EGFR,NRSN1
EGFR,RIT2
EGFR,PRKN
EGFR,SPHK2
EGFR,ANXA10
EGFR,RPL23
EGFR,IL11RA
EGFR,OTX2
EGFR,LIN7C
EGFR,AFTPH
EGFR,RS1
EGFR,MAP4K2
EGFR,POM121
EGFR,AURKAIP1
EGFR,MGST3
EGFR,PEA15
EGFR,IL1RAPL1
EGFR,SLCO2B1
EGFR,RHOD
EGFR,PTH1R
EGFR,PAK5
EGFR,UPK2
EGFR,BCR
EGFR,CCNF
EGFR,AP1B1
EGFR,WNT4
EGFR,SLA
EGFR,GPR119
EGFR,CFC1B
EGFR,STK16
EGFR,FLT3LG
EGFR,STX7
EGFR,CPSF4
EGFR,ITGA11
EGFR,SSH2
EGFR,PTPRN2
EGFR,NEU3
EGFR,ABCC1
EGFR,RALA
EGFR,SLC26A4
EGFR,F3
EGFR,ZBTB16
EGFR,LSR
EGFR,ATP6AP2
EGFR,IFNGR2
EGFR,RC3H2
EGFR,APOH
EGFR,S100A6
EGFR,HMOX1
EGFR,CD6
EGFR,S100A13
EGFR,MUC13
EGFR,FXYD4
EGFR,NOP53
EGFR,SYK
EGFR,ITGB1BP1
EGFR,CHODL
EGFR,SKIL
EGFR,MIP
EGFR,FAM234A
EGFR,GPR18
EGFR,SDC3
EGFR,RIPK2
EGFR,LPIN1
EGFR,TFR2
EGFR,PARVG
EGFR,FZD5
EGFR,DLG4
EGFR,DTX2
EGFR,SNX12
EGFR,CD86
EGFR,CD2
EGFR,UNC5D
EGFR,CSRP1
EGFR,TRIM72
EGFR,LIPK
EGFR,TAF10
EGFR,MLPH
EGFR,ATP1A4
