Bait,Prey
EGFR,WIPI2
EGFR,CBY1
EGFR,NOSIP
EGFR,COA3
EGFR,RUVBL2
EGFR,SRRM2
EGFR,TRAPPC9
EGFR,SHANK2
EGFR,AGTPBP1
EGFR,ZC3H4
EGFR,ING4
EGFR,C1orf198
EGFR,MAGED2
EGFR,MLXIPL
EGFR,TRPM3
EGFR,KRT2
EGFR,SMG1
EGFR,MTMR9
EGFR,SPAG8
EGFR,ARC
EGFR,FAM171A2
EGFR,SPEN
EGFR,MAP3K7
EGFR,PCNX
EGFR,SERPINB12
EGFR,SNX29
EGFR,RUNDC3B
EGFR,PRICKLE1
EGFR,ZFR
EGFR,SCYL1
EGFR,APPL2
EGFR,DNAH8
EGFR,DAB2
EGFR,NABP2
EGFR,ZFYVE21
EGFR,SYT17
EGFR,CNPY3
EGFR,RPF1
EGFR,NOL6
EGFR,REEP4
EGFR,PEAK1
EGFR,DPEP3
EGFR,RWDD1
EGFR,NUCKS1
EGFR,SPATC1L
EGFR,KATNBL1
EGFR,NXF2
EGFR,API5
EGFR,PLVAP
EGFR,PRR14
EGFR,C2orf49
EGFR,MTG1
EGFR,KRT10
EGFR,KRT5
EGFR,GJB1
EGFR,SMAP1
EGFR,DHRS2
EGFR,SEPT10
EGFR,MPRIP
EGFR,MARK2
EGFR,DGKA
EGFR,CKAP4
EGFR,ALDH3B1
EGFR,ABLIM3
EGFR,PRKCI
EGFR,UBE3C
EGFR,CDCA3
EGFR,LAD1
EGFR,MB21D2
EGFR,IFI16
EGFR,Epor
EGFR,LIN7C
EGFR,SNTB2
EGFR,NOTCH2
EGFR,DNAJC7
EGFR,ELMO2
EGFR,SMTN
EGFR,MYCBP2
EGFR,MAP4K4
EGFR,EPB41L1
EGFR,SEC23A
EGFR,FTSJ3
EGFR,OCRL
EGFR,TES
EGFR,UPP1
EGFR,SPTLC2
EGFR,PKP3
EGFR,MTMR6
EGFR,LAMB3
EGFR,DSC2
EGFR,HKDC1
EGFR,ZFYVE9
EGFR,ABLIM1
EGFR,GOLGB1
EGFR,GPNMB
EGFR,SLC6A15
EGFR,ADRBK1
EGFR,RALBP1
EGFR,cdh11
EGFR,Egfr
EGFR,CLCC1
EGFR,RGS2
EGFR,STYX
EGFR,CDK5RAP3
EGFR,DUSP19
EGFR,ILKAP
EGFR,PPM1B
EGFR,PPP3CB
EGFR,GPR149
EGFR,UBE2M
EGFR,SH3RF1
EGFR,PACSIN2
EGFR,SMAP2
EGFR,SPTAN1
EGFR,KRT18
EGFR,MUC4
EGFR,SNAP29
EGFR,PIP5K1A
EGFR,TFAP2A
EGFR,CTNND2
EGFR,HNRNPAB
EGFR,HNRNPA2B1
EGFR,PARD3
EGFR,VDAC1
EGFR,MGST2
EGFR,FHL1
EGFR,TRIOBP
EGFR,VIM
EGFR,ACTA1
EGFR,FAM135A
EGFR,LIMD1
EGFR,TOMM22
EGFR,PTPN7
EGFR,PDK3
EGFR,KCTD9P2
EGFR,TPM1
EGFR,FN1
EGFR,PPP5C
EGFR,RAP1GDS1
EGFR,ADRM1
EGFR,UBE2V2
EGFR,SPCS2
EGFR,Rab18
EGFR,FKBP8
EGFR,DYNC1H1
EGFR,COL9A3
EGFR,DCTN2
EGFR,GPM6B
EGFR,AKAP12
EGFR,FKBP4
EGFR,TMCO3
EGFR,CEND1
EGFR,RUSC2
EGFR,SPARCL1
EGFR,DDX60
EGFR,JAK1
EGFR,MYCBP
EGFR,C11orf84
EGFR,MTCO2P1
EGFR,ACTA2
EGFR,SNRPD2
EGFR,MOB4
EGFR,MAST1
EGFR,PIN4
EGFR,DNAJC4
EGFR,OLFM1
EGFR,NDN
EGFR,PRCC
EGFR,MGARP
EGFR,CNTN2
EGFR,GABARAPL2
EGFR,TPI1
EGFR,HEXIM1
EGFR,MEGF6
EGFR,PSMA7
EGFR,AIP
EGFR,NCAM1
EGFR,MAP3K14
EGFR,RIPK1
EGFR,CEBPB
EGFR,PLD2
EGFR,PRKAR1A
EGFR,AREG
EGFR,TJP1
EGFR,SH3BGRL
EGFR,KCNA3
EGFR,UL138
EGFR,FNDC3B
EGFR,SORBS2
EGFR,AHSA1
EGFR,PSMD4
EGFR,ALDOA
EGFR,OAZ1
EGFR,SEPP1
EGFR,MATR3
EGFR,PTGDS
EGFR,MDH1
EGFR,STIP1
EGFR,ATIC
EGFR,PRKAR1B
EGFR,CFL1
EGFR,CSRP1
EGFR,RAB3A
EGFR,GOT1
EGFR,FAH
EGFR,CBR1
EGFR,UROD
EGFR,HCFC1
EGFR,IRS2
EGFR,RBM41
EGFR,COG4
EGFR,THEM6
EGFR,COG6
EGFR,BZW2
EGFR,COG5
EGFR,EXOC4
EGFR,DFNA5
EGFR,DARS
EGFR,STRAP
EGFR,IQGAP3
EGFR,COG7
EGFR,PDIA3
EGFR,EXOC5
EGFR,THADA
EGFR,PPP2R5E
EGFR,PPP2R1B
EGFR,SLC39A11
EGFR,BUB3
EGFR,PEX19
EGFR,DNAJB12
EGFR,MARS
EGFR,EXOC6B
EGFR,TPP1
EGFR,IPO13
EGFR,PSMD2
EGFR,LGALS8
EGFR,DDX20
EGFR,TTC27
EGFR,XPO5
EGFR,EXOC8
EGFR,EPRS
EGFR,USP9X
EGFR,PPP6R1
EGFR,IPO4
EGFR,P4HB
EGFR,PPP6C
EGFR,RANBP1
EGFR,MPV17
EGFR,TUBB4B
EGFR,TUBB
EGFR,IGHG1
EGFR,Syngap1
EGFR,ANKRD13D
EGFR,ANKRD13B
EGFR,TLN1
EGFR,MAPK8IP1
EGFR,DOK5
EGFR,RIN2
EGFR,DOK4
EGFR,CLNK
EGFR,ANKS1B
EGFR,DOK6
EGFR,BMX
EGFR,IRS1
EGFR,TUBA4A
EGFR,TUBB4A
EGFR,HOOK2
EGFR,TUBB3
EGFR,GEMIN6
EGFR,LANCL2
EGFR,PHGDH
EGFR,GCN1L1
EGFR,PPP2R2A
EGFR,HSD17B12
EGFR,BAG2
EGFR,PPP2R1A
EGFR,PTRF
EGFR,HSPA2
EGFR,SNRPD1
EGFR,KRT86
EGFR,EEF1A1
EGFR,HBA1
EGFR,IGHG3
EGFR,ACE2
EGFR,ATG16L1
EGFR,ZW10
EGFR,PCDHB11
EGFR,LAMP1
EGFR,CFTR
EGFR,HNRNPL
EGFR,Prkd1
EGFR,UBE2J2
