Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PSMA4	Q96JQ2	Q96JQ2	0.804|1.235|1.436|1.135	4.610	1.153	4	0.724|0.800|0.646|0.829	0.003	0.012	0.003	0.012	0.003	-14.429	1.545	0.614	
PSMA4	Q96K17	Q96K17	1.638|0.877|0.886|0.659	4.061	1.015	4	0.456|0.681|0.526|0.418	0.250	1.000	0.250	1.000	0.250	-13.605	1.986	0.342	
PSMA4	Q96K37	Q96K37	0.730|0.463|0.477|0.421	2.091	0.523	4	1.320|1.945|1.584|1.272	0.000	0.000	0.000	0.000	0.000	-14.552	0.347	0.873	
PSMA4	Q96K58	Q96K58	0.693|1.436|1.552|0.818	4.500	1.125	4	1.793|3.247|3.051|2.478	0.000	0.000	0.000	0.000	0.000	-14.552	0.437	0.832	
PSMA4	Q96K76	Q96K76	0.754|0.861|0.855|0.793	3.263	0.816	4	0.553|0.576|0.609|0.495	0.000	0.000	0.000	0.000	0.000	-12.524	1.466	0.724	
PSMA4	Q96KA5	Q96KA5	0.563|0.510|0.225|0.188	1.486	0.372	4	0.624|0.386|0.350|0.435	0.000	0.000	0.000	0.000	0.000	-14.552	0.850	0.795	
PSMA4	Q96KB5	Q96KB5	3.289|2.935|2.447|4.014	12.685	3.171	4	2.370|1.912|2.120|2.530	0.000	0.001	0.000	0.001	0.000	-14.345	1.428	0.670	
PSMA4	Q96KC2	Q96KC2	0.921|1.727|1.984|0.602	5.234	1.308	4	1.963|2.032|1.972|1.380	0.000	0.000	0.000	0.000	0.000	-14.552	0.721	0.812	
PSMA4	Q96KG9	Q96KG9	0.723|1.127|1.182|1.359	4.391	1.098	4	0.976|1.180|1.439|0.948	0.000	0.000	0.000	0.000	0.000	-14.552	0.981	0.797	
PSMA4	Q96KM6	Q96KM6	1.238|0.970|1.043|1.822	5.073	1.268	4	1.180|1.483|1.292|1.328	0.000	0.000	0.000	0.000	0.000	-14.552	0.963	0.770	
PSMA4	Q96KP1	Q96KP1	0.310|0.323|0.376|0.465	1.473	0.368	4	0.412|0.651|0.538|0.355	0.000	0.000	0.000	0.000	0.000	-14.552	0.774	0.873	
PSMA4	Q96KP4	Q96KP4	0.629|0.694|0.931|0.735	2.990	0.747	4	1.320|1.440|1.288|0.987	0.000	0.000	0.000	0.000	0.000	-14.552	0.599	0.839	
PSMA4	Q96KQ4	Q96KQ4	0.820|0.947|1.113|0.742	3.621	0.905	4	0.928|0.496|0.939|0.467	0.004	0.012	0.004	0.012	0.004	-9.477	1.351	0.611	
