Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
LMNA	Q13315	ATM	0|1|0	1	0.33	3	2|7|4|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-6.45	0.23	0.75	
LMNA	Q13472	TOP3A	0|2|0	2	0.67	3	0|0|1|0|0|0|0|0|0	0.31	0.92	0.31	0.92	0.31	-1.93	6.00	0.36	
LMNA	Q13492	PICALM	0|1|0	1	0.33	3	11|11|9|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-14.59	0.10	0.75	
LMNA	Q13535	ATR	0|2|1	3	1.00	3	4|2|4|0|0|0|0|0|0	0.04	0.12	0.04	0.12	0.04	-5.06	0.90	0.58	
LMNA	Q13576	IQGAP2	0|1|0	1	0.33	3	0|1|3|0|2|0|0|0|1	0.00	0.00	0.00	0.00	0.00	-4.41	0.43	0.75	
LMNA	Q13835	PKP1	0|1|0	1	0.33	3	0|0|0|3|0|4|1|8|0	0.00	0.00	0.00	0.00	0.00	-8.00	0.19	0.75	
LMNA	Q13867	BLMH	0|5|0	5	1.67	3	0|0|0|0|0|0|0|19|0	0.10	0.29	0.10	0.29	0.10	-8.30	0.79	0.53	
LMNA	Q14116	IL18	0|2|1	3	1.00	3	0|1|0|1|2|0|0|0|1	0.12	0.36	0.12	0.36	0.12	-3.53	1.80	0.51	
LMNA	Q14146	URB2	0|3|1	4	1.33	3	0|0|2|0|0|0|0|0|0	0.29	0.88	0.29	0.88	0.29	-2.38	6.00	0.38	
LMNA	Q14160	SCRIB	0|3|0	3	1.00	3	83|81|84|0|0|0|1|1|1	0.00	0.00	0.00	0.00	0.00	-122.44	0.04	0.75	
LMNA	Q14207	NPAT	0|1|0	1	0.33	3	1|1|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.73	1.00	0.75	
LMNA	Q14574	DSC3	0|1|1	2	0.67	3	0|0|0|0|0|0|0|9|0	0.00	0.00	0.00	0.00	0.00	-3.93	0.67	0.75	
LMNA	Q14592	ZNF460	0|2|0	2	0.67	3	0|0|0|0|0|0|0|0|0	0.31	0.93	0.31	0.93	0.31	-1.89	6.67	0.35	
LMNA	Q14671	PUM1	0|2|0	2	0.67	3	20|17|16|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-25.10	0.11	0.75	
LMNA	Q14684	RRP1B	0|4|0	4	1.33	3	2|6|6|0|0|0|0|0|1	0.07	0.21	0.07	0.21	0.07	-7.53	0.80	0.55	
LMNA	Q14694	USP10	0|4|1	5	1.67	3	16|11|11|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-17.79	0.39	0.75	
LMNA	Q14728	MFSD10	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q14764	MVP	0|1|0	1	0.33	3	11|11|14|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-16.79	0.08	0.75	
LMNA	Q14C86	GAPVD1	0|3|0	3	1.00	3	40|32|25|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-46.39	0.09	0.75	
